carat,cut,color,clarity,depth,table,price,x,y,z,resid
0.31,Good,H,SI1,64,54,402,4.29,4.31,2.75,0.6129201550730409
0.26,Very Good,D,VS2,60.8,59,403,4.13,4.16,2.52,0.825079437586331
0.33,Ideal,I,SI2,61.8,55,403,4.49,4.51,2.78,0.5533255286891641
0.33,Ideal,I,SI2,61.2,56,403,4.49,4.5,2.75,0.5533255286891641
0.33,Ideal,J,SI1,61.1,56,403,4.49,4.55,2.76,0.5533255286891641
0.26,Good,D,VS2,65.2,56,403,3.99,4.02,2.61,0.825079437586331
0.26,Good,D,VS1,58.4,63,403,4.19,4.24,2.46,0.825079437586331
0.32,Good,H,SI2,63.1,56,403,4.34,4.37,2.75,0.5826077507900603
0.29,Premium,F,SI1,62.4,58,403,4.24,4.26,2.65,0.687101255461653
0.32,Very Good,H,SI2,61.8,55,403,4.35,4.42,2.71,0.5826077507900603
0.32,Good,H,SI2,63.8,56,403,4.36,4.38,2.79,0.5826077507900603
0.25,Very Good,E,VS2,63.3,60,404,4,4.03,2.54,0.8833175065075815
0.29,Very Good,H,SI2,60.7,60,404,4.33,4.37,2.64,0.6888062213560994
0.24,Very Good,F,SI1,60.9,61,404,4.02,4.03,2.45,0.9458603100835131
0.23,Ideal,G,VS1,61.9,54,404,3.93,3.95,2.44,1.0157850169772857
0.32,Ideal,I,SI1,60.9,55,404,4.45,4.48,2.72,0.5840534275910287
0.22,Premium,E,VS2,61.6,58,404,3.93,3.89,2.41,1.0943436057552
0.22,Premium,D,VS2,59.3,62,404,3.91,3.88,2.31,1.0943436057552
0.3,Ideal,I,SI2,61,59,405,4.3,4.33,2.63,0.6523748936140442
0.3,Premium,J,SI2,59.3,61,405,4.43,4.38,2.61,0.6523748936140442
0.3,Very Good,I,SI1,62.6,57,405,4.25,4.28,2.67,0.6523748936140442
0.3,Very Good,I,SI1,63,57,405,4.28,4.32,2.71,0.6523748936140442
0.3,Good,I,SI1,63.2,55,405,4.25,4.29,2.7,0.6523748936140442
0.35,Ideal,I,VS1,60.9,57,552,4.54,4.59,2.78,0.6867374688337801
0.3,Premium,D,SI1,62.6,59,552,4.23,4.27,2.66,0.8891628179628455
0.3,Ideal,D,SI1,62.5,57,552,4.29,4.32,2.69,0.8891628179628455
0.3,Ideal,D,SI1,62.1,56,552,4.3,4.33,2.68,0.8891628179628455
0.42,Premium,I,SI2,61.5,59,552,4.78,4.84,2.96,0.5059382177402
0.28,Ideal,G,VVS2,61.4,56,553,4.19,4.22,2.58,0.9999544516983029
0.32,Ideal,I,VVS1,62,55.3,553,4.39,4.42,2.73,0.7994592709352445
0.31,Very Good,G,SI1,63.3,57,553,4.33,4.3,2.73,0.8431463824760986
0.31,Premium,G,SI1,61.8,58,553,4.35,4.32,2.68,0.8431463824760986
0.24,Premium,E,VVS1,60.7,58,553,4.01,4.03,2.44,1.2947048303865907
0.24,Very Good,D,VVS1,61.5,60,553,3.97,4,2.45,1.2947048303865907
0.3,Very Good,H,SI1,63.1,56,554,4.29,4.27,2.7,0.8923844223757548
0.3,Premium,H,SI1,62.9,59,554,4.28,4.24,2.68,0.8923844223757548
0.3,Premium,H,SI1,62.5,57,554,4.29,4.25,2.67,0.8923844223757548
0.3,Good,H,SI1,63.7,57,554,4.28,4.26,2.72,0.8923844223757548
0.26,Very Good,F,VVS2,59.2,60,554,4.19,4.22,2.49,1.1342283087415077
0.26,Very Good,E,VVS2,59.9,58,554,4.15,4.23,2.51,1.1342283087415077
0.26,Very Good,D,VVS2,62.4,54,554,4.08,4.13,2.56,1.1342283087415077
0.26,Very Good,D,VVS2,62.8,60,554,4.01,4.05,2.53,1.1342283087415077
0.26,Very Good,E,VVS1,62.6,59,554,4.06,4.09,2.55,1.1342283087415077
0.26,Very Good,E,VVS1,63.4,59,554,4,4.04,2.55,1.1342283087415077
0.26,Very Good,D,VVS1,62.1,60,554,4.03,4.12,2.53,1.1342283087415077
0.26,Ideal,E,VVS2,62.9,58,554,4.02,4.06,2.54,1.1342283087415077
0.38,Ideal,I,SI2,61.6,56,554,4.65,4.67,2.87,0.6004940525416232
0.26,Good,E,VVS1,57.9,60,554,4.22,4.25,2.45,1.1342283087415077
0.24,Premium,G,VVS1,62.3,59,554,3.95,3.92,2.45,1.2970460687778864
0.24,Premium,H,VVS1,61.2,58,554,4.01,3.96,2.44,1.2970460687778864
0.24,Premium,H,VVS1,60.8,59,554,4.02,4,2.44,1.2970460687778864
0.24,Premium,H,VVS2,60.7,58,554,4.07,4.04,2.46,1.2970460687778864
0.32,Premium,I,SI1,62.9,58,554,4.35,4.33,2.73,0.8009049477362123
0.7,Ideal,E,SI1,62.5,57,2757,5.7,5.72,3.57,1.073537769768422
0.86,Fair,E,SI2,55.1,69,2757,6.45,6.33,3.52,0.7603238675130684
0.7,Ideal,G,VS2,61.6,56,2757,5.7,5.67,3.5,1.073537769768422
0.71,Very Good,E,VS2,62.4,57,2759,5.68,5.73,3.56,1.0490802585147783
0.78,Very Good,G,SI2,63.8,56,2759,5.81,5.85,3.72,0.8961374704282756
0.7,Good,E,VS2,57.5,58,2759,5.85,5.9,3.38,1.0743165421802958
0.7,Good,F,VS1,59.4,62,2759,5.71,5.76,3.4,1.0743165421802958
0.96,Fair,F,SI2,66.3,62,2759,6.27,5.95,4.07,0.6327834778821319
0.73,Very Good,E,SI1,61.6,59,2760,5.77,5.78,3.56,1.0017242470328385
0.8,Premium,H,SI1,61.5,58,2760,5.97,5.93,3.66,0.8592227541146714
0.75,Very Good,D,SI1,63.2,56,2760,5.8,5.75,3.65,0.9573632967182861
0.75,Premium,E,SI1,59.9,54,2760,6,5.96,3.58,0.9573632967182861
0.74,Ideal,G,SI1,61.6,55,2760,5.8,5.85,3.59,0.9791427675325538
0.75,Premium,G,VS2,61.7,58,2760,5.85,5.79,3.59,0.9573632967182861
0.8,Ideal,I,VS1,62.9,56,2760,5.94,5.87,3.72,0.8592227541146714
0.75,Ideal,G,SI1,62.2,55,2760,5.87,5.8,3.63,0.9573632967182861
0.8,Premium,G,SI1,63,59,2760,5.9,5.81,3.69,0.8592227541146714
0.74,Ideal,I,VVS2,62.3,55,2761,5.77,5.81,3.61,0.979497529404848
0.81,Ideal,F,SI2,58.8,57,2761,6.14,6.11,3.6,0.8418253691559842
0.59,Ideal,E,VVS2,62,55,2761,5.38,5.43,3.35,1.4317582876676078
0.8,Ideal,F,SI2,61.4,57,2761,5.96,6,3.67,0.8595340667067419
0.74,Ideal,E,SI2,62.2,56,2761,5.8,5.84,3.62,0.979497529404848
0.9,Premium,I,VS2,63,58,2761,6.16,6.12,3.87,0.7055711931203084
0.74,Very Good,G,SI1,62.2,59,2762,5.73,5.82,3.59,0.9798522912771431
0.73,Ideal,F,VS2,62.6,56,2762,5.77,5.74,3.6,1.00245013416837
0.73,Ideal,F,VS2,62.7,53,2762,5.8,5.75,3.62,1.00245013416837
0.8,Premium,F,SI2,61.7,58,2762,5.98,5.94,3.68,0.859845379298813
0.71,Ideal,G,VS2,62.4,54,2762,5.72,5.76,3.58,1.050220976447198
0.7,Ideal,E,VS2,60.7,58,2762,5.73,5.76,3.49,1.0754847007981074
0.8,Ideal,F,SI2,59.9,59,2762,6.01,6.07,3.62,0.859845379298813
0.71,Ideal,D,SI2,62.3,56,2762,5.73,5.69,3.56,1.050220976447198
0.74,Ideal,E,SI1,62.3,54,2762,5.8,5.83,3.62,0.9798522912771431
0.7,Very Good,F,VS2,61.7,63,2762,5.64,5.61,3.47,1.0754847007981074
0.7,Fair,F,VS2,64.5,57,2762,5.57,5.53,3.58,1.0754847007981074
0.7,Fair,F,VS2,65.3,55,2762,5.63,5.58,3.66,1.0754847007981074
0.7,Premium,F,VS2,61.6,60,2762,5.65,5.59,3.46,1.0754847007981074
0.91,Premium,H,SI1,61.4,56,2763,6.09,5.97,3.7,0.6931277255932029
0.61,Very Good,D,VVS2,59.6,57,2763,5.56,5.58,3.32,1.3549460566236886
0.91,Fair,H,SI2,64.4,57,2763,6.11,6.09,3.93,0.6931277255932029
0.91,Fair,H,SI2,65.7,60,2763,6.03,5.99,3.95,0.6931277255932029
0.77,Ideal,H,VS2,62,56,2763,5.89,5.86,3.64,0.9170539653693907
0.71,Very Good,D,SI1,63.6,58,2764,5.64,5.68,3.6,1.05098145506881
0.71,Ideal,D,SI1,61.9,59,2764,5.69,5.72,3.53,1.05098145506881
0.7,Very Good,E,VS2,62.6,60,2765,5.62,5.65,3.53,1.0766528594159184
0.77,Very Good,H,VS1,61.3,60,2765,5.88,5.9,3.61,0.9177177756953909
0.63,Premium,E,VVS1,60.9,60,2765,5.52,5.55,3.37,1.2845673118008185
0.71,Very Good,F,VS1,60.1,62,2765,5.74,5.77,3.46,1.051361694379617
0.71,Premium,F,VS1,61.8,59,2765,5.69,5.73,3.53,1.051361694379617
0.76,Ideal,H,SI1,61.2,57,2765,5.88,5.91,3.61,0.9380434993138292
0.64,Ideal,G,VVS1,61.9,56,2766,5.53,5.56,3.43,1.2515617575414146
0.71,Premium,G,VS2,60.9,57,2766,5.78,5.75,3.51,1.0517419336904226
0.71,Premium,G,VS2,59.8,56,2766,5.89,5.81,3.5,1.0517419336904226
0.7,Very Good,D,VS2,61.8,55,2767,5.68,5.72,3.52,1.077431631827792
0.7,Very Good,F,VS1,60,57,2767,5.8,5.87,3.5,1.077431631827792
0.71,Ideal,D,SI2,61.6,55,2767,5.74,5.76,3.54,1.0521221730012291
0.7,Good,H,VVS2,62.1,64,2767,5.62,5.65,3.5,1.077431631827792
0.71,Very Good,G,VS1,63.3,59,2768,5.52,5.61,3.52,1.0525024123120357
0.73,Very Good,D,SI1,60.2,56,2768,5.83,5.87,3.52,1.0046277955749625
0.7,Very Good,D,SI1,61.1,58,2768,5.66,5.73,3.48,1.077821018033729
0.7,Ideal,E,SI1,60.9,57,2768,5.73,5.76,3.5,1.077821018033729
0.71,Premium,D,SI2,61.7,59,2768,5.71,5.67,3.51,1.0525024123120357
0.74,Ideal,I,SI1,61.3,56,2769,5.82,5.86,3.57,0.9823356243832035
0.71,Premium,D,VS2,62.5,60,2770,5.65,5.61,3.52,1.0532628909336488
0.73,Premium,G,VS2,61.4,59,2770,5.83,5.76,3.56,1.005353682710494
0.76,Very Good,F,SI1,62.9,57,2770,5.79,5.81,3.65,0.9397397805060784
0.76,Ideal,D,SI2,62.4,57,2770,5.78,5.83,3.62,0.9397397805060784
0.71,Ideal,F,SI1,60.7,56,2770,5.77,5.8,3.51,1.0532628909336488
0.73,Premium,G,VS2,60.7,58,2770,5.87,5.82,3.55,1.005353682710494
0.73,Premium,G,VS1,61.5,58,2770,5.79,5.75,3.55,1.005353682710494
0.73,Ideal,D,SI2,59.9,57,2770,5.92,5.89,3.54,1.005353682710494
0.73,Premium,G,VS2,59.2,59,2770,5.92,5.87,3.49,1.005353682710494
0.72,Very Good,H,VVS2,60.3,56,2771,5.81,5.83,3.51,1.0292346094423797
0.73,Very Good,F,SI1,61.7,60,2771,5.79,5.82,3.58,1.0057166262782595
0.71,Ideal,G,VS2,61.9,57,2771,5.73,5.77,3.56,1.053643130244455
0.79,Ideal,F,SI2,61.9,55,2771,5.97,5.92,3.68,0.8810245804209255
0.73,Very Good,H,VVS1,60.4,59,2772,5.83,5.89,3.54,1.006079569846025
0.8,Very Good,F,SI2,61,57,2772,6.01,6.03,3.67,0.8629585052195181
0.58,Ideal,G,VVS1,61.5,55,2772,5.39,5.44,3.33,1.4792371956581927
0.58,Ideal,F,VVS1,61.7,56,2772,5.33,5.37,3.3,1.4792371956581927
0.71,Good,E,VS2,59.2,61,2772,5.8,5.88,3.46,1.0540233695552614
0.75,Ideal,D,SI2,61.3,56,2773,5.85,5.89,3.6,0.9618726165941334
0.7,Premium,D,VS2,58,62,2773,5.87,5.78,3.38,1.0797679490634147
1.17,Very Good,J,I1,60.2,61,2774,6.83,6.9,4.13,0.45670179145368794
0.6,Ideal,E,VS1,61.7,55,2774,5.41,5.44,3.35,1.3985486210652676
0.7,Ideal,E,SI1,62.7,55,2774,5.68,5.74,3.58,1.0801573352693512
0.83,Good,I,VS2,64.6,54,2774,5.85,5.88,3.79,0.8119139619776844
0.74,Very Good,F,VS2,61.3,61,2775,5.8,5.84,3.57,0.9844641956169701
0.72,Very Good,G,VS2,63.7,56.4,2776,5.62,5.69,3.61,1.0310917631945316
0.71,Premium,E,VS2,62.7,58,2776,5.74,5.68,3.58,1.0555443267984872
0.71,Ideal,E,VS2,62.2,57,2776,5.79,5.62,3.55,1.0555443267984872
0.54,Ideal,E,VVS2,61.6,56,2776,5.25,5.27,3.24,1.669828013649886
0.54,Ideal,E,VVS2,61.5,57,2776,5.24,5.26,3.23,1.669828013649886
0.72,Ideal,G,SI1,61.8,56,2776,5.72,5.75,3.55,1.0310917631945316
0.72,Ideal,G,SI1,60.7,56,2776,5.79,5.82,3.53,1.0310917631945316
0.72,Good,G,VS2,59.7,60.5,2776,5.8,5.84,3.47,1.0310917631945316
0.71,Ideal,G,SI1,60.5,56,2776,5.8,5.76,3.5,1.0555443267984872
0.7,Very Good,D,VS1,62.7,58,2777,5.66,5.73,3.57,1.0813254938871626
0.71,Premium,F,VS2,62.1,58,2777,5.67,5.7,3.53,1.055924566109293
0.71,Very Good,F,VS2,62.8,57,2777,5.64,5.69,3.56,1.055924566109293
0.71,Good,F,VS2,63.8,58,2777,5.61,5.64,3.59,1.055924566109293
0.71,Good,F,VS2,57.8,60,2777,5.87,5.9,3.4,1.055924566109293
0.7,Ideal,E,VS2,62.1,55,2777,5.7,5.67,3.53,1.0813254938871626
0.7,Premium,E,VS2,61.1,60,2777,5.71,5.64,3.47,1.0813254938871626
0.7,Premium,E,SI1,60,59,2777,5.79,5.75,3.46,1.0813254938871626
0.7,Premium,E,SI1,61.2,57,2777,5.73,5.68,3.49,1.0813254938871626
0.7,Premium,E,SI1,62.7,59,2777,5.67,5.63,3.54,1.0813254938871626
0.7,Premium,E,SI1,61,57,2777,5.73,5.68,3.48,1.0813254938871626
0.7,Premium,E,SI1,61,58,2777,5.78,5.72,3.51,1.0813254938871626
0.7,Ideal,E,SI1,61.4,57,2777,5.76,5.7,3.52,1.0813254938871626
0.72,Premium,F,SI1,61.8,61,2777,5.82,5.71,3.56,1.0314631939449612
0.7,Very Good,E,SI1,59.9,63,2777,5.76,5.7,3.43,1.0813254938871626
0.7,Premium,E,SI1,61.3,58,2777,5.71,5.68,3.49,1.0813254938871626
0.7,Premium,E,SI1,60.5,58,2777,5.77,5.74,3.48,1.0813254938871626
0.7,Good,E,VS2,64.1,59,2777,5.64,5.59,3.6,1.0813254938871626
0.98,Fair,H,SI2,67.9,60,2777,6.05,5.97,4.08,0.6152797689266095
0.78,Premium,F,SI1,62.4,58,2777,5.83,5.8,3.63,0.9019839635300186
0.7,Very Good,E,SI1,63.2,60,2777,5.6,5.51,3.51,1.0813254938871626
0.52,Ideal,F,VVS1,61.3,55,2778,5.19,5.22,3.19,1.7801305601823045
0.73,Very Good,H,VS2,60.8,56,2779,5.82,5.84,3.55,1.0086201748203831
0.74,Ideal,E,SI1,61.7,56,2779,5.84,5.8,3.59,0.9858832431061472
0.7,Very Good,F,VS2,63.6,57,2780,5.61,5.65,3.58,1.0824936525049738
0.77,Premium,G,VS2,61.2,58,2780,5.9,5.93,3.62,0.9226963531403929
0.71,Ideal,F,VS2,62.1,54,2780,5.68,5.72,3.54,1.0570652840417123
0.74,Ideal,G,VS1,61.5,55,2780,5.81,5.86,3.59,0.986238004978442
0.7,Ideal,G,VS1,61.4,59,2780,5.64,5.73,3.49,1.0824936525049738
1.01,Premium,F,I1,61.8,60,2781,6.39,6.36,3.94,0.5858041239736045
0.77,Ideal,H,SI1,62.2,56,2781,5.83,5.88,3.64,0.9230282583033931
0.78,Ideal,H,SI1,61.2,56,2781,5.92,5.99,3.64,0.9032831842192951
0.72,Very Good,H,VS1,60.6,63,2782,5.83,5.76,3.51,1.0333203476971131
0.53,Very Good,D,VVS2,57.5,64,2782,5.34,5.37,3.08,1.7266865368724535
0.76,Ideal,G,VS2,61.3,56,2782,5.9,5.94,3.63,0.9438108553674766
0.7,Good,E,VS1,57.2,62,2782,5.81,5.77,3.31,1.083272424916848
0.7,Premium,E,VS1,62.9,60,2782,5.62,5.54,3.51,1.083272424916848
0.75,Very Good,D,SI2,63.1,58,2782,5.78,5.73,3.63,0.9649944534312582
0.72,Ideal,D,SI1,60.8,57,2782,5.76,5.75,3.5,1.0333203476971131
0.72,Premium,D,SI1,62.7,59,2782,5.73,5.69,3.58,1.0333203476971131
0.7,Premium,D,SI1,62.8,60,2782,5.68,5.66,3.56,1.083272424916848
0.84,Fair,G,SI1,55.1,67,2782,6.39,6.2,3.47,0.7980763317316407
0.75,Premium,F,SI1,61.4,59,2782,5.88,5.85,3.6,0.9649944534312582
0.52,Ideal,F,IF,62.2,55,2783,5.14,5.18,3.21,1.7833345388723372
0.72,Very Good,F,VS2,63,54,2784,5.69,5.73,3.6,1.034063209197974
0.79,Very Good,H,VS1,63.7,56,2784,5.85,5.92,3.75,0.8851578606610817
0.72,Very Good,F,VS2,63.6,58,2787,5.66,5.69,3.61,1.0351775014492643
0.51,Ideal,F,VVS1,62,57,2787,5.11,5.15,3.18,1.8449688010634293
0.64,Ideal,D,VS1,61.5,56,2787,5.54,5.55,3.41,1.2610638533145062
0.7,Very Good,H,VVS1,60.5,60,2788,5.74,5.77,3.48,1.0856087421524705
0.83,Very Good,I,VS1,61.1,60,2788,6.07,6.1,3.72,0.8160115811080697
0.76,Ideal,I,VVS2,61.8,56,2788,5.85,5.87,3.62,0.9458463927981758
0.71,Good,D,VS2,63.3,56,2788,5.64,5.68,3.58,1.0601071985281636
0.77,Good,G,VS1,59.4,64,2788,5.97,5.92,3.53,0.9253515944443943
0.71,Ideal,F,SI1,62.5,55,2788,5.71,5.65,3.55,1.0601071985281636
1.01,Fair,E,I1,64.5,58,2788,6.29,6.21,4.03,0.5872786399275116
1.01,Premium,H,SI2,62.7,59,2788,6.31,6.22,3.93,0.5872786399275116
0.77,Good,F,SI1,64.2,52,2789,5.81,5.77,3.72,0.9256834996073942
0.76,Good,E,SI1,63.7,54,2789,5.76,5.85,3.7,0.9461856490366254
0.76,Premium,E,SI1,60.4,58,2789,5.92,5.94,3.58,0.9461856490366254
0.76,Premium,E,SI1,61.8,58,2789,5.82,5.86,3.61,0.9461856490366254
1.05,Very Good,J,SI2,63.2,56,2789,6.49,6.45,4.09,0.550468407166587
0.81,Ideal,G,SI2,61.6,56,2789,5.97,6.01,3.69,0.8503625333488014
0.7,Ideal,E,SI1,61.6,56,2789,5.72,5.75,3.53,1.0859981283584073
0.55,Ideal,G,IF,60.9,57,2789,5.28,5.3,3.22,1.6268455716371157
0.81,Good,G,SI2,61,61,2789,5.94,5.99,3.64,0.8503625333488014
0.63,Premium,E,VVS2,62.1,57,2789,5.48,5.41,3.38,1.295717263150988
0.63,Premium,E,VVS1,60.9,60,2789,5.55,5.52,3.37,1.295717263150988
0.77,Premium,H,VS1,61.3,60,2789,5.9,5.88,3.61,0.9256834996073942
1.05,Fair,J,SI2,65.8,59,2789,6.41,6.27,4.18,0.550468407166587
0.64,Ideal,G,IF,61.3,56,2790,5.54,5.58,3.41,1.262421295567805
0.76,Premium,I,VVS1,58.8,59,2790,6,5.94,3.51,0.9465249052750752
0.83,Ideal,F,SI2,62.3,55,2790,6.02,6.05,3.76,0.816596955269553
0.71,Premium,F,VS1,60.1,62,2790,5.77,5.74,3.46,1.060867677149776
0.71,Premium,F,VS1,61.8,59,2790,5.73,5.69,3.53,1.060867677149776
0.87,Very Good,I,SI1,63.6,55.8,2791,6.07,6.1,3.87,0.7549318549901589
0.73,Ideal,E,SI1,62.2,56,2791,5.74,5.78,3.58,1.0129754976335699
0.71,Premium,E,SI1,59.2,59,2792,5.83,5.86,3.46,1.061628155771389
0.71,Premium,E,SI1,61.8,59,2792,5.7,5.75,3.54,1.061628155771389
0.71,Ideal,E,SI1,61.3,55,2792,5.72,5.77,3.52,1.061628155771389
0.7,Premium,F,VS1,62.1,60,2792,5.71,5.65,3.53,1.0871662869762184
0.7,Premium,F,VS1,60.7,60,2792,5.78,5.75,3.5,1.0871662869762184
0.76,Premium,H,VVS2,59.6,57,2792,5.91,5.86,3.51,0.947203417751975
0.7,Ideal,F,VS1,62.2,56,2792,5.73,5.68,3.55,1.0871662869762184
0.79,Very Good,G,SI1,60.6,57,2793,5.98,6.06,3.65,0.888019362365805
0.7,Very Good,E,VS2,62.9,57,2793,5.66,5.69,3.57,1.0875556731821558
0.7,Good,E,VS2,64.1,55,2793,5.6,5.66,3.61,1.0875556731821558
0.76,Ideal,I,VS2,61.3,56,2793,5.87,5.91,3.61,0.9475426739904251
0.73,Ideal,H,VS2,62.7,55,2793,5.72,5.76,3.6,1.0137013847691012
0.79,Very Good,E,SI1,63.2,56,2794,5.91,5.86,3.72,0.888337306999663
0.71,Very Good,E,VS2,60.7,56,2795,5.81,5.82,3.53,1.062768873703808
0.81,Premium,I,VVS2,61.9,60,2795,5.91,5.86,3.64,0.8521919256758337
0.81,Ideal,F,SI2,62.6,55,2795,5.92,5.96,3.72,0.8521919256758337
0.72,Good,F,VS1,60.7,60,2795,5.74,5.72,3.48,1.038148947452707
0.72,Premium,D,SI2,62,60,2795,5.73,5.69,3.54,1.038148947452707
0.72,Premium,I,IF,63,57,2795,5.72,5.7,3.6,1.038148947452707
0.81,Premium,H,VS2,58,59,2795,6.17,6.13,3.57,0.8521919256758337
0.72,Premium,G,VS2,62.9,57,2795,5.73,5.65,3.58,1.038148947452707
1,Premium,I,SI2,58.2,60,2795,6.61,6.55,3.83,0.5986528833337506
0.73,Good,E,SI1,63.2,58,2796,5.7,5.76,3.62,1.0147902154723976
0.81,Very Good,H,SI2,61.3,59,2797,5.94,6.01,3.66,0.8528017231181773
0.81,Very Good,E,SI1,60.3,60,2797,6.07,6.1,3.67,0.8528017231181773
0.71,Premium,D,SI1,62.7,60,2797,5.67,5.71,3.57,1.0635293523254201
0.71,Premium,D,SI1,61.3,58,2797,5.73,5.75,3.52,1.0635293523254201
0.71,Premium,D,SI1,61.6,60,2797,5.74,5.69,3.52,1.0635293523254201
0.57,Ideal,F,VVS2,61.9,55,2797,5.34,5.35,3.31,1.536719966156949
0.51,Ideal,D,VVS1,61.7,56,2797,5.12,5.16,3.17,1.851588710647438
0.72,Ideal,G,VS2,61.9,58,2797,5.72,5.75,3.55,1.038891808953567
0.74,Ideal,H,VS1,61.8,58,2797,5.77,5.81,3.58,0.9922689568074465
0.74,Ideal,H,VS1,61.6,56,2797,5.81,5.82,3.58,0.9922689568074465
0.7,Fair,G,VVS1,58.8,66,2797,5.81,5.9,3.44,1.089113218005903
0.8,Premium,F,SI2,61,57,2797,6.03,6.01,3.67,0.870741320021281
1.01,Fair,E,SI2,67.4,60,2797,6.19,6.05,4.13,0.589174446153963
0.8,Very Good,H,VS2,63.4,60,2797,5.92,5.82,3.72,0.870741320021281
0.77,Ideal,I,VS1,61.5,59,2798,5.87,5.91,3.62,0.928670646074395
0.83,Very Good,E,SI2,58,62,2799,6.19,6.25,3.61,0.8192311389962293
0.82,Ideal,F,SI2,62.4,54,2799,5.97,6.02,3.74,0.8360424955681205
0.78,Ideal,D,SI1,61.9,57,2799,5.91,5.86,3.64,0.9091296773210383
0.6,Very Good,G,IF,61.6,56,2800,5.43,5.46,3.35,1.4116568633679702
0.9,Good,I,SI2,62.2,59,2800,6.07,6.11,3.79,0.7155376098286359
0.7,Premium,E,VS1,62.2,58,2800,5.6,5.66,3.5,1.0902813766237145
0.9,Very Good,I,SI2,61.3,56,2800,6.17,6.23,3.8,0.7155376098286359
0.83,Ideal,G,SI1,62.3,57,2800,5.99,6.08,3.76,0.8195238260769706
0.83,Ideal,G,SI1,61.8,57,2800,6.03,6.07,3.74,0.8195238260769706
0.83,Very Good,H,SI1,62.5,59,2800,5.95,6.02,3.74,0.8195238260769706
0.74,Premium,G,VS1,62.9,60,2800,5.74,5.68,3.59,0.99333324242433
0.79,Ideal,I,VS1,61.8,59,2800,5.92,5.95,3.67,0.8902449748028116
0.61,Ideal,G,IF,62.3,56,2800,5.43,5.45,3.39,1.3730904663577006
0.76,Fair,G,VS1,59,70,2800,5.89,5.8,3.46,0.9499174676595735
0.96,Ideal,F,I1,60.7,55,2801,6.37,6.41,3.88,0.6424162818223458
0.73,Ideal,F,VS2,62.5,55,2801,5.8,5.76,3.61,1.0166049333112253
0.73,Premium,F,VS2,62.7,58,2801,5.76,5.7,3.59,1.0166049333112253
